Season,RaceName,Circuit,Session,Driver,Team,LapNumber,LapInStint,Compound,Stint,LapTimeSec,NormalizedPace,Sector1Sec,Sector2Sec,Sector3Sec,Position,TrackStatus,TrackType
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,5.0,4,MEDIUM,1.0,97.906,1.036195838536926,29.031,41.31,27.565,2.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,6.0,5,MEDIUM,1.0,97.997,1.0371589441822069,28.952,41.383,27.662,2.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,7.0,6,MEDIUM,1.0,97.774,1.034798806172343,29.021,41.271,27.482,2.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,8.0,7,MEDIUM,1.0,97.669,1.0336875304277882,29.109,41.083,27.477,2.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,9.0,8,MEDIUM,1.0,97.89,1.036026501280613,28.961,41.421,27.508,2.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,10.0,9,MEDIUM,1.0,97.739,1.0344283809241581,28.882,41.405,27.452,2.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,11.0,10,MEDIUM,1.0,97.593,1.032883178460301,28.842,41.269,27.482,2.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,12.0,11,MEDIUM,1.0,97.778,1.0348411404864213,28.894,41.425,27.459,2.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,13.0,12,MEDIUM,1.0,97.701,1.0340262049404143,28.94,41.182,27.579,2.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,14.0,13,MEDIUM,1.0,97.707,1.0340897064115318,28.994,41.292,27.421,2.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,15.0,14,MEDIUM,1.0,97.826,1.0353491522553604,28.967,41.348,27.511,2.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,16.0,15,MEDIUM,1.0,97.851,1.0356137417183497,29.023,41.338,27.49,2.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,17.0,16,MEDIUM,1.0,97.987,1.0370531083970111,29.011,41.423,27.553,2.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,18.0,17,MEDIUM,1.0,98.068,1.0379103782570962,28.965,41.611,27.492,2.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,19.0,18,MEDIUM,1.0,98.017,1.0373706157525981,28.996,41.483,27.538,2.0,1,Street
